Text,Complexity,Start Time,End Time
- Whoa! - Incredible safety settings,8.2,00:03:54,534,00:03:55,803
an ambulance, an alligator,,8.2,00:19:41,315,00:19:42,682
Contacting local law enforcement.,8.2,00:28:06,955,00:28:08,222
It's violent, uncontrollable, and highly dangerous.,6.17,00:30:11,813,00:30:14,949
Server room. Fingerprint recognition.,8.2,01:25:28,296,01:25:30,630
