Text,Complexity,Start Time,End Time
Muslim fundamentalists, Christian fundamentalists, Jewish fundamentalists,,-95.36,00:07:19,438,00:07:23,042
white-collared, business-criminal, asshole cocksuckers,-51.03,00:15:42,474,00:15:46,111
these fraudulent two-day-a-week motherfuckers,-8.73,00:19:06,612,00:19:09,214
inauthentic, low frequency, single-digit, lame, white motherfuckers...,-3.32,00:19:54,326,00:19:59,131
Quality, value, styles, service, selection, convenience, economy savings, performance,,-5.35,00:45:10,941,00:45:16,246
affordable prices, money-back guarantee, free installation.,-10.76,00:45:20,350,00:45:24,021
Our experienced and knowledgeable sales representatives,-10.76,00:46:12,202,00:46:14,471
packaging, distribution, and marketing of bullshit...,6.17,00:47:39,056,00:47:42,125
