Text,Complexity,Start Time,End Time
and any operational condition.,8.2,00:10:13,147,00:10:14,880
President Venegas, I really appreciate you,6.17,00:23:45,593,00:23:47,726
Probably separated by now.,8.2,00:51:55,382,00:51:57,382
a private military company.,8.2,01:38:20,968,01:38:22,968
