Text,Complexity,Start Time,End Time
Excellent!,-47.99,00:11:49,920,00:11:51,480
<i>Argentina. Argentina... abstention.</i>,-50.02,00:21:48,280,00:21:55,180
<i>United Kingdom... abstention.</i>,-24.64,00:22:58,200,00:23:01,200
<i>Yugoslavia.</i>,-47.99,00:23:15,800,00:23:17,400
<i>Abstention.</i>,-47.99,00:23:17,560,00:23:20,440
Everyone, everyone must participate in this operation.,-3.32,00:38:59,325,00:39:02,125
universal importance was created.,-8.73,01:05:32,335,01:05:36,335
Military training?,-6.7,01:09:13,376,01:09:16,176
Forever.,-47.99,01:31:02,339,01:31:05,539
