Text,Complexity,Start Time,End Time
Evidence?,-47.99,00:50:34,265,00:50:35,265
GALLIERA HOSPITAL,-6.7,01:10:26,022,01:10:27,397
"Is the mysterious disappearance of Engineer Antonelli...,-3.32,01:20:05,768,01:20:08,144
"Antonelli was collecting evidence of complicity...,-10.76,01:20:14,610,01:20:17,111
Subtitled by Francesco Massaccesi,8.2,01:41:31,118,01:41:32,562
