Text,Complexity,Start Time,End Time
She actually relaxes me.,8.2,00:17:35,055,00:17:36,390
<i>Rahmat's got the detonators.</i>,8.2,00:20:37,437,00:20:38,639
Bringing a little something-something,8.2,00:33:33,213,00:33:34,649
but inside Russian territory,,8.2,00:45:29,029,00:45:30,699
